,instrument_names,maturities,mark_price,index_price,last_price,Spot,utc_T0
0,BTC-30DEC22,1672387200000,41843.04,40607.47,41841.5,40605.66,2022-04-13 14:42:17.996364
1,BTC-22APR22,1650614400000,40620.01,40606.53,40619.0,40605.66,2022-04-13 14:42:17.996364
2,BTC-24JUN22,1656057600000,40831.71,40606.53,40825.0,40605.66,2022-04-13 14:42:17.996364
3,BTC-30SEP22,1664524800000,41358.07,40605.96,41358.0,40605.66,2022-04-13 14:42:17.996364
4,BTC-15APR22,1650009600000,40605.01,40607.47,40600.0,40605.66,2022-04-13 14:42:17.996364
5,BTC-31MAR23,1680249600000,42333.7,40608.27,42327.0,40605.66,2022-04-13 14:42:17.996364
6,BTC-27MAY22,1653638400000,40661.3,40609.17,40656.0,40605.66,2022-04-13 14:42:17.996364
7,BTC-PERPETUAL,32503708800000,40600.23,40610.32,40595.5,40605.66,2022-04-13 14:42:17.996364
8,BTC-29APR22,1651219200000,40611.99,40610.32,40520.0,40605.66,2022-04-13 14:42:17.996364
