,type,strikes,maturities,implied_volatilities,Spot,utc_T0
0,put,40000.0,1649923200.0,0.5485,40605.66,2022-04-13 14:42:17.996364
1,put,42000.0,1649923200.0,0.5406,40605.66,2022-04-13 14:42:17.996364
2,put,34000.0,1649923200.0,0.8801000000000001,40605.66,2022-04-13 14:42:17.996364
3,put,36000.0,1649923200.0,0.8415,40605.66,2022-04-13 14:42:17.996364
4,put,41000.0,1649923200.0,0.5106,40605.66,2022-04-13 14:42:17.996364
5,put,43000.0,1649923200.0,0.6084,40605.66,2022-04-13 14:42:17.996364
6,put,46000.0,1649923200.0,0.6526000000000001,40605.66,2022-04-13 14:42:17.996364
7,put,39000.0,1649923200.0,0.6279,40605.66,2022-04-13 14:42:17.996364
8,put,44000.0,1649923200.0,0.6520999999999999,40605.66,2022-04-13 14:42:17.996364
9,put,32000.0,1649923200.0,0.8801000000000001,40605.66,2022-04-13 14:42:17.996364
10,put,35000.0,1649923200.0,0.8801000000000001,40605.66,2022-04-13 14:42:17.996364
11,put,38000.0,1649923200.0,0.6572,40605.66,2022-04-13 14:42:17.996364
12,put,37000.0,1649923200.0,0.7332,40605.66,2022-04-13 14:42:17.996364
13,put,45000.0,1649923200.0,0.6520999999999999,40605.66,2022-04-13 14:42:17.996364
14,put,25000.0,1650009600.0,0.9994,40605.66,2022-04-13 14:42:17.996364
15,put,65000.0,1650009600.0,0.7365999999999999,40605.66,2022-04-13 14:42:17.996364
16,put,50000.0,1650009600.0,0.7359,40605.66,2022-04-13 14:42:17.996364
17,put,49000.0,1650009600.0,0.7359,40605.66,2022-04-13 14:42:17.996364
18,put,48000.0,1650009600.0,0.7359,40605.66,2022-04-13 14:42:17.996364
19,put,70000.0,1650009600.0,0.7378,40605.66,2022-04-13 14:42:17.996364
20,put,39000.0,1650009600.0,0.5748,40605.66,2022-04-13 14:42:17.996364
21,put,30000.0,1650009600.0,0.922,40605.66,2022-04-13 14:42:17.996364
22,put,45000.0,1650009600.0,0.6385000000000001,40605.66,2022-04-13 14:42:17.996364
23,put,60000.0,1650009600.0,0.7365999999999999,40605.66,2022-04-13 14:42:17.996364
24,put,56000.0,1650009600.0,0.7365999999999999,40605.66,2022-04-13 14:42:17.996364
25,put,52000.0,1650009600.0,0.7359,40605.66,2022-04-13 14:42:17.996364
26,put,36000.0,1650009600.0,0.7893000000000001,40605.66,2022-04-13 14:42:17.996364
27,put,34000.0,1650009600.0,0.8695999999999999,40605.66,2022-04-13 14:42:17.996364
28,put,35000.0,1650009600.0,0.815,40605.66,2022-04-13 14:42:17.996364
