,type,strikes,maturities,implied_volatilities,Spot,utc_T0
64,put,32000.0,1651219200.0,0.6733,40476.62,2022-04-16 05:43:09.976983
65,put,43000.0,1651219200.0,0.4899,40476.62,2022-04-16 05:43:09.976983
66,put,25000.0,1651219200.0,0.9645,40476.62,2022-04-16 05:43:09.976983
67,put,53000.0,1651219200.0,0.6109,40476.62,2022-04-16 05:43:09.976983
68,put,44000.0,1651219200.0,0.4921,40476.62,2022-04-16 05:43:09.976983
69,put,52000.0,1651219200.0,0.5935,40476.62,2022-04-16 05:43:09.976983
70,put,42000.0,1651219200.0,0.49200000000000005,40476.62,2022-04-16 05:43:09.976983
71,put,35000.0,1651219200.0,0.5992000000000001,40476.62,2022-04-16 05:43:09.976983
72,put,20000.0,1651219200.0,1.0561,40476.62,2022-04-16 05:43:09.976983
73,put,65000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
74,put,41000.0,1651219200.0,0.4997,40476.62,2022-04-16 05:43:09.976983
75,put,47000.0,1651219200.0,0.519,40476.62,2022-04-16 05:43:09.976983
76,put,100000.0,1651219200.0,0.9587,40476.62,2022-04-16 05:43:09.976983
77,put,34000.0,1651219200.0,0.6296,40476.62,2022-04-16 05:43:09.976983
78,put,48000.0,1651219200.0,0.5273,40476.62,2022-04-16 05:43:09.976983
79,put,36000.0,1651219200.0,0.5783,40476.62,2022-04-16 05:43:09.976983
80,put,46000.0,1651219200.0,0.5072,40476.62,2022-04-16 05:43:09.976983
81,put,30000.0,1651219200.0,0.7537,40476.62,2022-04-16 05:43:09.976983
82,put,75000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
83,put,80000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
84,put,42000.0,1651824000.0,0.5191,40476.62,2022-04-16 05:43:09.976983
85,put,38000.0,1651824000.0,0.5562,40476.62,2022-04-16 05:43:09.976983
86,put,25000.0,1651824000.0,0.8804000000000001,40476.62,2022-04-16 05:43:09.976983
87,put,55000.0,1651824000.0,0.6046,40476.62,2022-04-16 05:43:09.976983
88,put,40000.0,1651824000.0,0.5327000000000001,40476.62,2022-04-16 05:43:09.976983
89,put,65000.0,1651824000.0,0.7402,40476.62,2022-04-16 05:43:09.976983
90,put,60000.0,1651824000.0,0.6787000000000001,40476.62,2022-04-16 05:43:09.976983
91,put,34000.0,1651824000.0,0.6215999999999999,40476.62,2022-04-16 05:43:09.976983
92,put,30000.0,1651824000.0,0.7053,40476.62,2022-04-16 05:43:09.976983
93,put,46000.0,1651824000.0,0.5162,40476.62,2022-04-16 05:43:09.976983
94,put,32000.0,1651824000.0,0.6655,40476.62,2022-04-16 05:43:09.976983
95,put,44000.0,1651824000.0,0.513,40476.62,2022-04-16 05:43:09.976983
96,put,50000.0,1651824000.0,0.5462,40476.62,2022-04-16 05:43:09.976983
97,put,36000.0,1651824000.0,0.5855,40476.62,2022-04-16 05:43:09.976983
98,put,48000.0,1651824000.0,0.5307999999999999,40476.62,2022-04-16 05:43:09.976983
99,put,25000.0,1653638400.0,0.8237000000000001,40476.62,2022-04-16 05:43:09.976983
100,put,80000.0,1653638400.0,0.8043,40476.62,2022-04-16 05:43:09.976983
101,put,48000.0,1653638400.0,0.5635,40476.62,2022-04-16 05:43:09.976983
102,put,75000.0,1653638400.0,0.7393000000000001,40476.62,2022-04-16 05:43:09.976983
103,put,65000.0,1653638400.0,0.6468,40476.62,2022-04-16 05:43:09.976983
104,put,30000.0,1653638400.0,0.7004,40476.62,2022-04-16 05:43:09.976983
105,put,50000.0,1653638400.0,0.5686,40476.62,2022-04-16 05:43:09.976983
106,put,35000.0,1653638400.0,0.6251,40476.62,2022-04-16 05:43:09.976983
107,put,40000.0,1653638400.0,0.5785,40476.62,2022-04-16 05:43:09.976983
108,put,70000.0,1653638400.0,0.7148,40476.62,2022-04-16 05:43:09.976983
109,put,52000.0,1653638400.0,0.5798,40476.62,2022-04-16 05:43:09.976983
110,put,32000.0,1653638400.0,0.6640999999999999,40476.62,2022-04-16 05:43:09.976983
111,put,55000.0,1653638400.0,0.5968,40476.62,2022-04-16 05:43:09.976983
112,put,100000.0,1653638400.0,0.8209000000000001,40476.62,2022-04-16 05:43:09.976983
113,put,36000.0,1653638400.0,0.6138,40476.62,2022-04-16 05:43:09.976983
114,put,34000.0,1653638400.0,0.6379,40476.62,2022-04-16 05:43:09.976983
115,put,42000.0,1653638400.0,0.5682,40476.62,2022-04-16 05:43:09.976983
116,put,44000.0,1653638400.0,0.5629,40476.62,2022-04-16 05:43:09.976983
117,put,20000.0,1653638400.0,1.0244,40476.62,2022-04-16 05:43:09.976983
118,put,60000.0,1653638400.0,0.6221,40476.62,2022-04-16 05:43:09.976983
119,put,46000.0,1653638400.0,0.561,40476.62,2022-04-16 05:43:09.976983
120,put,54000.0,1653638400.0,0.5891,40476.62,2022-04-16 05:43:09.976983
121,put,85000.0,1653638400.0,0.8151,40476.62,2022-04-16 05:43:09.976983
122,put,38000.0,1653638400.0,0.5928,40476.62,2022-04-16 05:43:09.976983
123,put,52000.0,1656057600.0,0.5971,40476.62,2022-04-16 05:43:09.976983
124,put,150000.0,1656057600.0,1.0419,40476.62,2022-04-16 05:43:09.976983
125,put,44000.0,1656057600.0,0.5981000000000001,40476.62,2022-04-16 05:43:09.976983
126,put,55000.0,1656057600.0,0.6039,40476.62,2022-04-16 05:43:09.976983
127,put,65000.0,1656057600.0,0.6445000000000001,40476.62,2022-04-16 05:43:09.976983
128,put,300000.0,1656057600.0,1.1761,40476.62,2022-04-16 05:43:09.976983
129,put,25000.0,1656057600.0,0.7817000000000001,40476.62,2022-04-16 05:43:09.976983
130,put,45000.0,1656057600.0,0.5962,40476.62,2022-04-16 05:43:09.976983
131,put,60000.0,1656057600.0,0.6204999999999999,40476.62,2022-04-16 05:43:09.976983
132,put,48000.0,1656057600.0,0.5939,40476.62,2022-04-16 05:43:09.976983
133,put,90000.0,1656057600.0,0.7679,40476.62,2022-04-16 05:43:09.976983
134,put,35000.0,1656057600.0,0.6470999999999999,40476.62,2022-04-16 05:43:09.976983
135,put,40000.0,1656057600.0,0.613,40476.62,2022-04-16 05:43:09.976983
136,put,50000.0,1656057600.0,0.595,40476.62,2022-04-16 05:43:09.976983
137,put,250000.0,1656057600.0,1.153,40476.62,2022-04-16 05:43:09.976983
138,put,80000.0,1656057600.0,0.7204999999999999,40476.62,2022-04-16 05:43:09.976983
139,put,70000.0,1656057600.0,0.6703,40476.62,2022-04-16 05:43:09.976983
140,put,100000.0,1656057600.0,0.836,40476.62,2022-04-16 05:43:09.976983
141,put,75000.0,1656057600.0,0.698,40476.62,2022-04-16 05:43:09.976983
142,put,30000.0,1656057600.0,0.7006,40476.62,2022-04-16 05:43:09.976983
143,put,200000.0,1656057600.0,1.1109,40476.62,2022-04-16 05:43:09.976983
144,put,20000.0,1656057600.0,0.8891,40476.62,2022-04-16 05:43:09.976983
145,put,15000.0,1656057600.0,1.0151000000000001,40476.62,2022-04-16 05:43:09.976983
146,put,120000.0,1656057600.0,0.9147,40476.62,2022-04-16 05:43:09.976983
147,put,42000.0,1656057600.0,0.6046,40476.62,2022-04-16 05:43:09.976983
148,put,46000.0,1656057600.0,0.5945,40476.62,2022-04-16 05:43:09.976983
149,put,60000.0,1664524800.0,0.6304,40476.62,2022-04-16 05:43:09.976983
150,put,50000.0,1664524800.0,0.6269,40476.62,2022-04-16 05:43:09.976983
151,put,120000.0,1664524800.0,0.7356999999999999,40476.62,2022-04-16 05:43:09.976983
152,put,400000.0,1664524800.0,0.9505,40476.62,2022-04-16 05:43:09.976983
153,put,20000.0,1664524800.0,0.7998999999999999,40476.62,2022-04-16 05:43:09.976983
154,put,300000.0,1664524800.0,0.9428,40476.62,2022-04-16 05:43:09.976983
155,put,350000.0,1664524800.0,0.9431,40476.62,2022-04-16 05:43:09.976983
156,put,90000.0,1664524800.0,0.6708,40476.62,2022-04-16 05:43:09.976983
157,put,250000.0,1664524800.0,0.9102,40476.62,2022-04-16 05:43:09.976983
158,put,25000.0,1664524800.0,0.7313,40476.62,2022-04-16 05:43:09.976983
159,put,100000.0,1664524800.0,0.6896,40476.62,2022-04-16 05:43:09.976983
160,put,30000.0,1664524800.0,0.6837000000000001,40476.62,2022-04-16 05:43:09.976983
161,put,65000.0,1664524800.0,0.6335000000000001,40476.62,2022-04-16 05:43:09.976983
162,put,70000.0,1664524800.0,0.6382,40476.62,2022-04-16 05:43:09.976983
163,put,40000.0,1664524800.0,0.6413,40476.62,2022-04-16 05:43:09.976983
164,put,35000.0,1664524800.0,0.657,40476.62,2022-04-16 05:43:09.976983
165,put,80000.0,1664524800.0,0.6503,40476.62,2022-04-16 05:43:09.976983
166,put,55000.0,1664524800.0,0.627,40476.62,2022-04-16 05:43:09.976983
167,put,45000.0,1664524800.0,0.6308,40476.62,2022-04-16 05:43:09.976983
168,put,150000.0,1664524800.0,0.7892,40476.62,2022-04-16 05:43:09.976983
169,put,200000.0,1664524800.0,0.8711,40476.62,2022-04-16 05:43:09.976983
170,put,15000.0,1664524800.0,0.9013,40476.62,2022-04-16 05:43:09.976983
171,put,90000.0,1672387200.0,0.6626000000000001,40476.62,2022-04-16 05:43:09.976983
172,put,50000.0,1672387200.0,0.6453,40476.62,2022-04-16 05:43:09.976983
173,put,60000.0,1672387200.0,0.6468,40476.62,2022-04-16 05:43:09.976983
174,put,15000.0,1672387200.0,0.8332999999999999,40476.62,2022-04-16 05:43:09.976983
175,put,45000.0,1672387200.0,0.6476000000000001,40476.62,2022-04-16 05:43:09.976983
176,put,120000.0,1672387200.0,0.6945999999999999,40476.62,2022-04-16 05:43:09.976983
177,put,20000.0,1672387200.0,0.7587,40476.62,2022-04-16 05:43:09.976983
178,put,250000.0,1672387200.0,0.8399,40476.62,2022-04-16 05:43:09.976983
