,instrument_names,maturities,mark_price,index_price,last_price
0,BTC-30DEC22,1672387200000,45322.91,43587.72,45064.0
1,BTC-25MAR22,1648195200000,43633.95,43586.49,43634.0
2,BTC-4MAR22,1646380800000,43602.26,43586.51,43615.5
3,BTC-24JUN22,1656057600000,44095.54,43586.51,44093.0
4,BTC-30SEP22,1664524800000,44715.05,43586.8,44712.5
5,BTC-11MAR22,1646985600000,43564.8,43587.03,43381.0
6,BTC-PERPETUAL,32503708800000,43595.29,43587.01,43590.5
7,BTC-29APR22,1651219200000,43757.32,43587.01,43739.5
