,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,48000.0,1646380800.0,0.851,43584.81,2022-03-03 21:32:01.364902
1,put,42000.0,1646380800.0,0.7126,43584.81,2022-03-03 21:32:01.364902
2,put,25000.0,1646380800.0,1.5769,43584.81,2022-03-03 21:32:01.364902
3,put,34000.0,1646380800.0,1.5397999999999998,43584.81,2022-03-03 21:32:01.364902
4,put,39000.0,1646380800.0,1.0337,43584.81,2022-03-03 21:32:01.364902
5,put,41000.0,1646380800.0,0.816,43584.81,2022-03-03 21:32:01.364902
6,put,37000.0,1646380800.0,1.2411,43584.81,2022-03-03 21:32:01.364902
7,put,54000.0,1646380800.0,1.0346,43584.81,2022-03-03 21:32:01.364902
8,put,45000.0,1646380800.0,0.593,43584.81,2022-03-03 21:32:01.364902
9,put,38000.0,1646380800.0,1.1459000000000001,43584.81,2022-03-03 21:32:01.364902
10,put,43000.0,1646380800.0,0.6315,43584.81,2022-03-03 21:32:01.364902
11,put,46000.0,1646380800.0,0.7029000000000001,43584.81,2022-03-03 21:32:01.364902
12,put,33000.0,1646380800.0,1.5656,43584.81,2022-03-03 21:32:01.364902
13,put,32000.0,1646380800.0,1.5768,43584.81,2022-03-03 21:32:01.364902
14,put,50000.0,1646380800.0,0.8913,43584.81,2022-03-03 21:32:01.364902
15,put,52000.0,1646380800.0,0.9584,43584.81,2022-03-03 21:32:01.364902
16,put,55000.0,1646380800.0,1.0659,43584.81,2022-03-03 21:32:01.364902
17,put,60000.0,1646380800.0,1.0955,43584.81,2022-03-03 21:32:01.364902
18,put,40000.0,1646380800.0,0.9786,43584.81,2022-03-03 21:32:01.364902
19,put,65000.0,1646380800.0,1.0955,43584.81,2022-03-03 21:32:01.364902
20,put,30000.0,1646380800.0,1.5769,43584.81,2022-03-03 21:32:01.364902
21,put,35000.0,1646380800.0,1.4158000000000002,43584.81,2022-03-03 21:32:01.364902
22,put,36000.0,1646380800.0,1.2816,43584.81,2022-03-03 21:32:01.364902
23,put,70000.0,1646380800.0,1.0955,43584.81,2022-03-03 21:32:01.364902
24,put,75000.0,1646380800.0,1.0955,43584.81,2022-03-03 21:32:01.364902
25,put,44000.0,1646380800.0,0.5793,43584.81,2022-03-03 21:32:01.364902
26,put,39000.0,1646467200.0,0.8901,43584.81,2022-03-03 21:32:01.364902
27,put,34000.0,1646467200.0,1.022,43584.81,2022-03-03 21:32:01.364902
28,put,45000.0,1646467200.0,0.5986,43584.81,2022-03-03 21:32:01.364902
29,put,36000.0,1646467200.0,1.022,43584.81,2022-03-03 21:32:01.364902
30,put,38000.0,1646467200.0,1.0143,43584.81,2022-03-03 21:32:01.364902
31,put,40000.0,1646467200.0,0.8245999999999999,43584.81,2022-03-03 21:32:01.364902
32,put,50000.0,1646467200.0,0.7798999999999999,43584.81,2022-03-03 21:32:01.364902
33,put,47000.0,1646467200.0,0.6468,43584.81,2022-03-03 21:32:01.364902
34,put,43000.0,1646467200.0,0.6241,43584.81,2022-03-03 21:32:01.364902
35,put,46000.0,1646467200.0,0.6314,43584.81,2022-03-03 21:32:01.364902
36,put,41000.0,1646467200.0,0.7534000000000001,43584.81,2022-03-03 21:32:01.364902
37,put,48000.0,1646467200.0,0.7572,43584.81,2022-03-03 21:32:01.364902
38,put,42000.0,1646467200.0,0.6808,43584.81,2022-03-03 21:32:01.364902
39,put,44000.0,1646467200.0,0.5939,43584.81,2022-03-03 21:32:01.364902
40,put,39000.0,1646985600.0,0.7734000000000001,43584.81,2022-03-03 21:32:01.364902
