,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,42000.0,1645948800.0,0.7193,38749.63,2022-02-27 15:54:43.580118
1,put,33000.0,1645948800.0,1.1957,38749.63,2022-02-27 15:54:43.580118
2,put,41000.0,1645948800.0,0.7036,38749.63,2022-02-27 15:54:43.580118
3,put,39000.0,1645948800.0,0.6646,38749.63,2022-02-27 15:54:43.580118
4,put,34000.0,1645948800.0,1.19,38749.63,2022-02-27 15:54:43.580118
5,put,43000.0,1645948800.0,0.7369,38749.63,2022-02-27 15:54:43.580118
6,put,46000.0,1645948800.0,0.7525,38749.63,2022-02-27 15:54:43.580118
7,put,44000.0,1645948800.0,0.7525,38749.63,2022-02-27 15:54:43.580118
8,put,37000.0,1645948800.0,1.1553,38749.63,2022-02-27 15:54:43.580118
9,put,36000.0,1645948800.0,1.1887,38749.63,2022-02-27 15:54:43.580118
10,put,40000.0,1645948800.0,0.7019,38749.63,2022-02-27 15:54:43.580118
11,put,32000.0,1645948800.0,1.2906,38749.63,2022-02-27 15:54:43.580118
12,put,30000.0,1645948800.0,1.2934999999999999,38749.63,2022-02-27 15:54:43.580118
13,put,35000.0,1645948800.0,1.1887,38749.63,2022-02-27 15:54:43.580118
14,put,38000.0,1645948800.0,0.7888,38749.63,2022-02-27 15:54:43.580118
15,put,42000.0,1646035200.0,0.8529000000000001,38749.63,2022-02-27 15:54:43.580118
16,put,43000.0,1646035200.0,0.8656999999999999,38749.63,2022-02-27 15:54:43.580118
17,put,39000.0,1646035200.0,0.6622,38749.63,2022-02-27 15:54:43.580118
18,put,34000.0,1646035200.0,1.1845999999999999,38749.63,2022-02-27 15:54:43.580118
19,put,32000.0,1646035200.0,1.1853,38749.63,2022-02-27 15:54:43.580118
20,put,40000.0,1646035200.0,0.6828,38749.63,2022-02-27 15:54:43.580118
21,put,38000.0,1646035200.0,0.7009000000000001,38749.63,2022-02-27 15:54:43.580118
22,put,35000.0,1646035200.0,1.0905,38749.63,2022-02-27 15:54:43.580118
23,put,41000.0,1646035200.0,0.6953,38749.63,2022-02-27 15:54:43.580118
24,put,36000.0,1646035200.0,0.9251,38749.63,2022-02-27 15:54:43.580118
25,put,44000.0,1646035200.0,0.8656999999999999,38749.63,2022-02-27 15:54:43.580118
26,put,46000.0,1646035200.0,0.8656999999999999,38749.63,2022-02-27 15:54:43.580118
27,put,37000.0,1646035200.0,0.7978000000000001,38749.63,2022-02-27 15:54:43.580118
28,put,48000.0,1646380800.0,0.8649,38749.63,2022-02-27 15:54:43.580118
29,put,42000.0,1646380800.0,0.6684,38749.63,2022-02-27 15:54:43.580118
30,put,25000.0,1646380800.0,1.46,38749.63,2022-02-27 15:54:43.580118
31,put,34000.0,1646380800.0,0.8384,38749.63,2022-02-27 15:54:43.580118
32,put,39000.0,1646380800.0,0.6615000000000001,38749.63,2022-02-27 15:54:43.580118
