,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,55000.0,1637222400.0,0.9934999999999999,60252.76,2021-11-17 23:18:30.108070
1,put,48000.0,1637222400.0,0.9937999999999999,60252.76,2021-11-17 23:18:30.108070
2,put,64000.0,1637222400.0,0.7979,60252.76,2021-11-17 23:18:30.108070
3,put,56000.0,1637222400.0,0.9933,60252.76,2021-11-17 23:18:30.108070
4,put,46000.0,1637222400.0,0.9937999999999999,60252.76,2021-11-17 23:18:30.108070
5,put,60000.0,1637222400.0,0.7395,60252.76,2021-11-17 23:18:30.108070
6,put,50000.0,1637222400.0,0.9937999999999999,60252.76,2021-11-17 23:18:30.108070
7,put,61000.0,1637222400.0,0.7178,60252.76,2021-11-17 23:18:30.108070
8,put,52000.0,1637222400.0,0.9937999999999999,60252.76,2021-11-17 23:18:30.108070
9,put,51000.0,1637222400.0,0.9937999999999999,60252.76,2021-11-17 23:18:30.108070
10,put,59000.0,1637222400.0,0.7773,60252.76,2021-11-17 23:18:30.108070
11,put,67000.0,1637222400.0,0.8011,60252.76,2021-11-17 23:18:30.108070
12,put,58000.0,1637222400.0,0.8341,60252.76,2021-11-17 23:18:30.108070
13,put,65000.0,1637222400.0,0.7993000000000001,60252.76,2021-11-17 23:18:30.108070
14,put,54000.0,1637222400.0,0.9936,60252.76,2021-11-17 23:18:30.108070
15,put,66000.0,1637222400.0,0.8001999999999999,60252.76,2021-11-17 23:18:30.108070
16,put,63000.0,1637222400.0,0.7114,60252.76,2021-11-17 23:18:30.108070
17,put,62000.0,1637222400.0,0.7023,60252.76,2021-11-17 23:18:30.108070
18,put,53000.0,1637222400.0,0.9937,60252.76,2021-11-17 23:18:30.108070
19,put,57000.0,1637222400.0,0.8869,60252.76,2021-11-17 23:18:30.108070
20,put,68000.0,1637222400.0,0.802,60252.76,2021-11-17 23:18:30.108070
21,put,70000.0,1637222400.0,0.8026000000000001,60252.76,2021-11-17 23:18:30.108070
22,put,58000.0,1637308800.0,0.8308,60252.76,2021-11-17 23:18:30.108070
