,instrument_names,maturities,mark_price,index_price,last_price
0,BTC-26NOV21,1637913600000,60287.8,60251.9,60291.0
1,BTC-25MAR22,1648195200000,62310.77,60251.54,62304.5
2,BTC-19NOV21,1637308800000,60251.39,60251.81,60258.5
3,BTC-24JUN22,1656057600000,63747.84,60243.91,63761.5
4,BTC-30SEP22,1664524800000,65387.21,60243.91,65405.5
5,BTC-31DEC21,1640937600000,60895.38,60238.36,60904.0
6,BTC-PERPETUAL,32503708800000,60226.05,60237.4,60214.0
