,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,41000.0,1643529600.0,0.7914,37529.81,2022-01-30 01:08:50.881172
1,put,35000.0,1643529600.0,1.0164,37529.81,2022-01-30 01:08:50.881172
2,put,39000.0,1643529600.0,0.6157,37529.81,2022-01-30 01:08:50.881172
3,put,30000.0,1643529600.0,1.4221000000000001,37529.81,2022-01-30 01:08:50.881172
4,put,40000.0,1643529600.0,0.7629,37529.81,2022-01-30 01:08:50.881172
5,put,37000.0,1643529600.0,0.611,37529.81,2022-01-30 01:08:50.881172
6,put,34000.0,1643529600.0,1.0514000000000001,37529.81,2022-01-30 01:08:50.881172
7,put,33000.0,1643529600.0,1.2377,37529.81,2022-01-30 01:08:50.881172
8,put,32000.0,1643529600.0,1.2925,37529.81,2022-01-30 01:08:50.881172
9,put,38000.0,1643529600.0,0.5692,37529.81,2022-01-30 01:08:50.881172
10,put,42000.0,1643529600.0,0.8393,37529.81,2022-01-30 01:08:50.881172
11,put,36000.0,1643529600.0,0.7623000000000001,37529.81,2022-01-30 01:08:50.881172
12,put,44000.0,1643616000.0,0.7345,37529.81,2022-01-30 01:08:50.881172
13,put,35000.0,1643616000.0,0.7661,37529.81,2022-01-30 01:08:50.881172
14,put,42000.0,1643616000.0,0.7345,37529.81,2022-01-30 01:08:50.881172
15,put,40000.0,1643616000.0,0.6435,37529.81,2022-01-30 01:08:50.881172
16,put,33000.0,1643616000.0,1.0102,37529.81,2022-01-30 01:08:50.881172
17,put,39000.0,1643616000.0,0.6019,37529.81,2022-01-30 01:08:50.881172
18,put,30000.0,1643616000.0,1.2042,37529.81,2022-01-30 01:08:50.881172
19,put,34000.0,1643616000.0,0.8998,37529.81,2022-01-30 01:08:50.881172
20,put,41000.0,1643616000.0,0.7226,37529.81,2022-01-30 01:08:50.881172
21,put,38000.0,1643616000.0,0.5889,37529.81,2022-01-30 01:08:50.881172
22,put,36000.0,1643616000.0,0.6776000000000001,37529.81,2022-01-30 01:08:50.881172
23,put,37000.0,1643616000.0,0.6108,37529.81,2022-01-30 01:08:50.881172
24,put,32000.0,1643616000.0,1.1506999999999998,37529.81,2022-01-30 01:08:50.881172
25,put,60000.0,1643961600.0,1.1371,37529.81,2022-01-30 01:08:50.881172
26,put,48000.0,1643961600.0,0.8345999999999999,37529.81,2022-01-30 01:08:50.881172
27,put,32000.0,1643961600.0,0.9206,37529.81,2022-01-30 01:08:50.881172
28,put,52000.0,1643961600.0,1.0153,37529.81,2022-01-30 01:08:50.881172
29,put,35000.0,1643961600.0,0.7304,37529.81,2022-01-30 01:08:50.881172
30,put,37000.0,1643961600.0,0.6518999999999999,37529.81,2022-01-30 01:08:50.881172
31,put,42000.0,1643961600.0,0.6638,37529.81,2022-01-30 01:08:50.881172
32,put,28000.0,1643961600.0,1.1069,37529.81,2022-01-30 01:08:50.881172
33,put,39000.0,1643961600.0,0.6231,37529.81,2022-01-30 01:08:50.881172
34,put,46000.0,1643961600.0,0.7829999999999999,37529.81,2022-01-30 01:08:50.881172
35,put,30000.0,1643961600.0,1.0387,37529.81,2022-01-30 01:08:50.881172
36,put,36000.0,1643961600.0,0.6843,37529.81,2022-01-30 01:08:50.881172
37,put,25000.0,1643961600.0,1.3657,37529.81,2022-01-30 01:08:50.881172
38,put,40000.0,1643961600.0,0.6293,37529.81,2022-01-30 01:08:50.881172
39,put,31000.0,1643961600.0,0.993,37529.81,2022-01-30 01:08:50.881172
40,put,45000.0,1643961600.0,0.7386,37529.81,2022-01-30 01:08:50.881172
41,put,41000.0,1643961600.0,0.643,37529.81,2022-01-30 01:08:50.881172
42,put,34000.0,1643961600.0,0.7852,37529.81,2022-01-30 01:08:50.881172
43,put,55000.0,1643961600.0,1.1259000000000001,37529.81,2022-01-30 01:08:50.881172
44,put,33000.0,1643961600.0,0.8528,37529.81,2022-01-30 01:08:50.881172
45,put,44000.0,1643961600.0,0.7176,37529.81,2022-01-30 01:08:50.881172
46,put,50000.0,1643961600.0,0.9067000000000001,37529.81,2022-01-30 01:08:50.881172
47,put,65000.0,1643961600.0,1.2447,37529.81,2022-01-30 01:08:50.881172
48,put,70000.0,1643961600.0,1.2447,37529.81,2022-01-30 01:08:50.881172
49,put,38000.0,1643961600.0,0.6317,37529.81,2022-01-30 01:08:50.881172
50,put,70000.0,1644566400.0,1.1117,37529.81,2022-01-30 01:08:50.881172
51,put,45000.0,1644566400.0,0.659,37529.81,2022-01-30 01:08:50.881172
52,put,46000.0,1644566400.0,0.6733,37529.81,2022-01-30 01:08:50.881172
53,put,32000.0,1644566400.0,0.8273,37529.81,2022-01-30 01:08:50.881172
54,put,41000.0,1644566400.0,0.6231,37529.81,2022-01-30 01:08:50.881172
55,put,35000.0,1644566400.0,0.7111,37529.81,2022-01-30 01:08:50.881172
56,put,65000.0,1644566400.0,1.0095999999999998,37529.81,2022-01-30 01:08:50.881172
57,put,52000.0,1644566400.0,0.7777,37529.81,2022-01-30 01:08:50.881172
58,put,42000.0,1644566400.0,0.6277,37529.81,2022-01-30 01:08:50.881172
59,put,36000.0,1644566400.0,0.6809000000000001,37529.81,2022-01-30 01:08:50.881172
60,put,55000.0,1644566400.0,0.8068000000000001,37529.81,2022-01-30 01:08:50.881172
61,put,50000.0,1644566400.0,0.7223,37529.81,2022-01-30 01:08:50.881172
62,put,39000.0,1644566400.0,0.6321,37529.81,2022-01-30 01:08:50.881172
63,put,48000.0,1644566400.0,0.7151000000000001,37529.81,2022-01-30 01:08:50.881172
64,put,25000.0,1644566400.0,1.1775,37529.81,2022-01-30 01:08:50.881172
65,put,33000.0,1644566400.0,0.7842,37529.81,2022-01-30 01:08:50.881172
66,put,30000.0,1644566400.0,0.9251,37529.81,2022-01-30 01:08:50.881172
67,put,28000.0,1644566400.0,1.0269,37529.81,2022-01-30 01:08:50.881172
68,put,40000.0,1644566400.0,0.6274000000000001,37529.81,2022-01-30 01:08:50.881172
69,put,44000.0,1644566400.0,0.6451,37529.81,2022-01-30 01:08:50.881172
70,put,20000.0,1644566400.0,1.3719,37529.81,2022-01-30 01:08:50.881172
71,put,60000.0,1644566400.0,0.9568000000000001,37529.81,2022-01-30 01:08:50.881172
72,put,34000.0,1644566400.0,0.7425,37529.81,2022-01-30 01:08:50.881172
73,put,38000.0,1644566400.0,0.6437,37529.81,2022-01-30 01:08:50.881172
74,put,37000.0,1644566400.0,0.6592,37529.81,2022-01-30 01:08:50.881172
75,put,28000.0,1645171200.0,0.9315000000000001,37529.81,2022-01-30 01:08:50.881172
76,put,36000.0,1645171200.0,0.6722,37529.81,2022-01-30 01:08:50.881172
77,put,34000.0,1645171200.0,0.7149,37529.81,2022-01-30 01:08:50.881172
78,put,25000.0,1645171200.0,1.0552,37529.81,2022-01-30 01:08:50.881172
79,put,60000.0,1645171200.0,0.7877,37529.81,2022-01-30 01:08:50.881172
80,put,44000.0,1645171200.0,0.6246,37529.81,2022-01-30 01:08:50.881172
81,put,38000.0,1645171200.0,0.6406999999999999,37529.81,2022-01-30 01:08:50.881172
82,put,32000.0,1645171200.0,0.7712,37529.81,2022-01-30 01:08:50.881172
83,put,30000.0,1645171200.0,0.8423999999999999,37529.81,2022-01-30 01:08:50.881172
84,put,42000.0,1645171200.0,0.6182,37529.81,2022-01-30 01:08:50.881172
85,put,40000.0,1645171200.0,0.6223,37529.81,2022-01-30 01:08:50.881172
86,put,55000.0,1645171200.0,0.7358,37529.81,2022-01-30 01:08:50.881172
87,put,20000.0,1645171200.0,1.2682,37529.81,2022-01-30 01:08:50.881172
88,put,50000.0,1645171200.0,0.6881999999999999,37529.81,2022-01-30 01:08:50.881172
89,put,45000.0,1645171200.0,0.632,37529.81,2022-01-30 01:08:50.881172
90,put,46000.0,1645776000.0,0.6357,37529.81,2022-01-30 01:08:50.881172
91,put,50000.0,1645776000.0,0.6793,37529.81,2022-01-30 01:08:50.881172
92,put,60000.0,1645776000.0,0.7974,37529.81,2022-01-30 01:08:50.881172
93,put,24000.0,1645776000.0,1.0297,37529.81,2022-01-30 01:08:50.881172
94,put,90000.0,1645776000.0,1.0957,37529.81,2022-01-30 01:08:50.881172
95,put,40000.0,1645776000.0,0.6325999999999999,37529.81,2022-01-30 01:08:50.881172
96,put,55000.0,1645776000.0,0.7445999999999999,37529.81,2022-01-30 01:08:50.881172
97,put,34000.0,1645776000.0,0.7018000000000001,37529.81,2022-01-30 01:08:50.881172
98,put,75000.0,1645776000.0,0.9566,37529.81,2022-01-30 01:08:50.881172
99,put,48000.0,1645776000.0,0.6533,37529.81,2022-01-30 01:08:50.881172
100,put,20000.0,1645776000.0,1.1951,37529.81,2022-01-30 01:08:50.881172
101,put,140000.0,1645776000.0,1.3657,37529.81,2022-01-30 01:08:50.881172
102,put,110000.0,1645776000.0,1.3046,37529.81,2022-01-30 01:08:50.881172
103,put,120000.0,1645776000.0,1.3657,37529.81,2022-01-30 01:08:50.881172
104,put,70000.0,1645776000.0,0.9268000000000001,37529.81,2022-01-30 01:08:50.881172
105,put,36000.0,1645776000.0,0.6701,37529.81,2022-01-30 01:08:50.881172
106,put,28000.0,1645776000.0,0.8776,37529.81,2022-01-30 01:08:50.881172
107,put,26000.0,1645776000.0,0.9440000000000001,37529.81,2022-01-30 01:08:50.881172
108,put,30000.0,1645776000.0,0.8045,37529.81,2022-01-30 01:08:50.881172
109,put,44000.0,1645776000.0,0.629,37529.81,2022-01-30 01:08:50.881172
110,put,80000.0,1645776000.0,1.0242,37529.81,2022-01-30 01:08:50.881172
111,put,25000.0,1645776000.0,0.9892,37529.81,2022-01-30 01:08:50.881172
112,put,35000.0,1645776000.0,0.6847,37529.81,2022-01-30 01:08:50.881172
113,put,65000.0,1645776000.0,0.8321,37529.81,2022-01-30 01:08:50.881172
114,put,100000.0,1645776000.0,1.2096,37529.81,2022-01-30 01:08:50.881172
115,put,45000.0,1645776000.0,0.6315,37529.81,2022-01-30 01:08:50.881172
116,put,42000.0,1645776000.0,0.6251,37529.81,2022-01-30 01:08:50.881172
117,put,32000.0,1645776000.0,0.7475,37529.81,2022-01-30 01:08:50.881172
118,put,38000.0,1645776000.0,0.6459,37529.81,2022-01-30 01:08:50.881172
119,put,45000.0,1648195200.0,0.6495000000000001,37529.81,2022-01-30 01:08:50.881172
120,put,90000.0,1648195200.0,0.9516,37529.81,2022-01-30 01:08:50.881172
121,put,40000.0,1648195200.0,0.6611,37529.81,2022-01-30 01:08:50.881172
122,put,35000.0,1648195200.0,0.6969,37529.81,2022-01-30 01:08:50.881172
123,put,120000.0,1648195200.0,1.0948,37529.81,2022-01-30 01:08:50.881172
124,put,30000.0,1648195200.0,0.7619,37529.81,2022-01-30 01:08:50.881172
125,put,250000.0,1648195200.0,1.5624,37529.81,2022-01-30 01:08:50.881172
126,put,18000.0,1648195200.0,1.0641,37529.81,2022-01-30 01:08:50.881172
127,put,70000.0,1648195200.0,0.8062,37529.81,2022-01-30 01:08:50.881172
128,put,400000.0,1648195200.0,1.5624,37529.81,2022-01-30 01:08:50.881172
129,put,200000.0,1648195200.0,1.4312,37529.81,2022-01-30 01:08:50.881172
130,put,65000.0,1648195200.0,0.7626999999999999,37529.81,2022-01-30 01:08:50.881172
131,put,50000.0,1648195200.0,0.6592,37529.81,2022-01-30 01:08:50.881172
132,put,150000.0,1648195200.0,1.2119,37529.81,2022-01-30 01:08:50.881172
133,put,100000.0,1648195200.0,1.0042,37529.81,2022-01-30 01:08:50.881172
134,put,60000.0,1648195200.0,0.7227,37529.81,2022-01-30 01:08:50.881172
135,put,20000.0,1648195200.0,1.0062,37529.81,2022-01-30 01:08:50.881172
136,put,16000.0,1648195200.0,1.1551,37529.81,2022-01-30 01:08:50.881172
137,put,55000.0,1648195200.0,0.6859999999999999,37529.81,2022-01-30 01:08:50.881172
138,put,15000.0,1648195200.0,1.1795,37529.81,2022-01-30 01:08:50.881172
139,put,25000.0,1648195200.0,0.8632,37529.81,2022-01-30 01:08:50.881172
140,put,80000.0,1648195200.0,0.8845000000000001,37529.81,2022-01-30 01:08:50.881172
141,put,300000.0,1648195200.0,1.5624,37529.81,2022-01-30 01:08:50.881172
142,put,22000.0,1648195200.0,0.9455,37529.81,2022-01-30 01:08:50.881172
143,put,40000.0,1651219200.0,0.6683,37529.81,2022-01-30 01:08:50.881172
144,put,45000.0,1651219200.0,0.66,37529.81,2022-01-30 01:08:50.881172
145,put,60000.0,1651219200.0,0.6865000000000001,37529.81,2022-01-30 01:08:50.881172
146,put,70000.0,1651219200.0,0.7265999999999999,37529.81,2022-01-30 01:08:50.881172
147,put,50000.0,1651219200.0,0.6618,37529.81,2022-01-30 01:08:50.881172
148,put,25000.0,1651219200.0,0.794,37529.81,2022-01-30 01:08:50.881172
149,put,35000.0,1651219200.0,0.6937000000000001,37529.81,2022-01-30 01:08:50.881172
150,put,20000.0,1651219200.0,0.8976999999999999,37529.81,2022-01-30 01:08:50.881172
151,put,100000.0,1651219200.0,0.8694,37529.81,2022-01-30 01:08:50.881172
152,put,30000.0,1651219200.0,0.7315999999999999,37529.81,2022-01-30 01:08:50.881172
153,put,80000.0,1651219200.0,0.7734000000000001,37529.81,2022-01-30 01:08:50.881172
154,put,150000.0,1656057600.0,0.8986,37529.81,2022-01-30 01:08:50.881172
155,put,300000.0,1656057600.0,1.1411,37529.81,2022-01-30 01:08:50.881172
156,put,25000.0,1656057600.0,0.7531,37529.81,2022-01-30 01:08:50.881172
157,put,45000.0,1656057600.0,0.6762999999999999,37529.81,2022-01-30 01:08:50.881172
158,put,60000.0,1656057600.0,0.6823999999999999,37529.81,2022-01-30 01:08:50.881172
159,put,90000.0,1656057600.0,0.7456999999999999,37529.81,2022-01-30 01:08:50.881172
160,put,35000.0,1656057600.0,0.6984999999999999,37529.81,2022-01-30 01:08:50.881172
161,put,40000.0,1656057600.0,0.6843,37529.81,2022-01-30 01:08:50.881172
162,put,50000.0,1656057600.0,0.6746,37529.81,2022-01-30 01:08:50.881172
163,put,250000.0,1656057600.0,1.0573000000000001,37529.81,2022-01-30 01:08:50.881172
164,put,80000.0,1656057600.0,0.7212999999999999,37529.81,2022-01-30 01:08:50.881172
165,put,70000.0,1656057600.0,0.6990999999999999,37529.81,2022-01-30 01:08:50.881172
166,put,100000.0,1656057600.0,0.7752,37529.81,2022-01-30 01:08:50.881172
167,put,30000.0,1656057600.0,0.7203,37529.81,2022-01-30 01:08:50.881172
168,put,200000.0,1656057600.0,0.9992,37529.81,2022-01-30 01:08:50.881172
169,put,20000.0,1656057600.0,0.8083,37529.81,2022-01-30 01:08:50.881172
170,put,15000.0,1656057600.0,0.9003,37529.81,2022-01-30 01:08:50.881172
171,put,120000.0,1656057600.0,0.8341,37529.81,2022-01-30 01:08:50.881172
172,put,60000.0,1664524800.0,0.6962,37529.81,2022-01-30 01:08:50.881172
173,put,50000.0,1664524800.0,0.6951,37529.81,2022-01-30 01:08:50.881172
174,put,120000.0,1664524800.0,0.7552,37529.81,2022-01-30 01:08:50.881172
175,put,400000.0,1664524800.0,0.9899,37529.81,2022-01-30 01:08:50.881172
176,put,20000.0,1664524800.0,0.7778,37529.81,2022-01-30 01:08:50.881172
