,instrument_names,maturities,mark_price,index_price,last_price
0,BTC-30DEC22,1672387200000,39845.94,37535.19,39893.5
1,BTC-25MAR22,1648195200000,37767.14,37538.06,37755.5
2,BTC-25FEB22,1645776000000,37576.46,37538.06,37597.0
3,BTC-4FEB22,1643961600000,37495.91,37537.75,37487.5
4,BTC-11FEB22,1644566400000,37522.5,37537.97,37521.5
5,BTC-24JUN22,1656057600000,38474.06,37538.03,38461.5
6,BTC-30SEP22,1664524800000,39184.93,37538.03,39183.5
7,BTC-PERPETUAL,32503708800000,37512.86,37534.88,37515.0
