,instrument_names,maturities,mark_price,index_price,last_price
0,BTC-25MAR22,1648195200000,50177.47,49171.91,50173.5
1,BTC-28JAN22,1643356800000,49568.79,49172.06,49565.0
2,BTC-24DEC21,1640332800000,49273.35,49172.27,49231.5
3,BTC-17DEC21,1639728000000,49241.83,49172.27,49238.0
4,BTC-24JUN22,1656057600000,51254.96,49172.13,51253.0
5,BTC-30SEP22,1664524800000,52488.4,49172.29,52485.0
6,BTC-31DEC21,1640937600000,49345.33,49173.63,49339.5
7,BTC-PERPETUAL,32503708800000,49193.99,49173.63,49175.5
