,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,51000.0,1639296000.0,0.7198,49168.55,2021-12-12 16:04:16.703146
1,put,53000.0,1639296000.0,0.9351,49168.55,2021-12-12 16:04:16.703146
2,put,49000.0,1639296000.0,0.6420999999999999,49168.55,2021-12-12 16:04:16.703146
3,put,43000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
4,put,52000.0,1639296000.0,0.8968,49168.55,2021-12-12 16:04:16.703146
5,put,48000.0,1639296000.0,1.3621,49168.55,2021-12-12 16:04:16.703146
6,put,47000.0,1639296000.0,1.3621,49168.55,2021-12-12 16:04:16.703146
7,put,42000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
8,put,56000.0,1639296000.0,0.9377,49168.55,2021-12-12 16:04:16.703146
9,put,54000.0,1639296000.0,0.9375,49168.55,2021-12-12 16:04:16.703146
10,put,40000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
11,put,44000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
12,put,38000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
13,put,46000.0,1639296000.0,1.3622,49168.55,2021-12-12 16:04:16.703146
14,put,41000.0,1639296000.0,1.4016,49168.55,2021-12-12 16:04:16.703146
15,put,50000.0,1639296000.0,0.7009000000000001,49168.55,2021-12-12 16:04:16.703146
16,put,45000.0,1639296000.0,1.3744,49168.55,2021-12-12 16:04:16.703146
17,put,55000.0,1639296000.0,0.9376000000000001,49168.55,2021-12-12 16:04:16.703146
18,put,45000.0,1639382400.0,0.9787,49168.55,2021-12-12 16:04:16.703146
19,put,54000.0,1639382400.0,0.8244,49168.55,2021-12-12 16:04:16.703146
20,put,49000.0,1639382400.0,0.6933,49168.55,2021-12-12 16:04:16.703146
21,put,40000.0,1639382400.0,1.2874,49168.55,2021-12-12 16:04:16.703146
22,put,56000.0,1639382400.0,0.9,49168.55,2021-12-12 16:04:16.703146
23,put,46000.0,1639382400.0,0.9258,49168.55,2021-12-12 16:04:16.703146
24,put,44000.0,1639382400.0,1.1267,49168.55,2021-12-12 16:04:16.703146
25,put,38000.0,1639382400.0,1.3775,49168.55,2021-12-12 16:04:16.703146
26,put,43000.0,1639382400.0,1.1441,49168.55,2021-12-12 16:04:16.703146
27,put,47000.0,1639382400.0,0.8270000000000001,49168.55,2021-12-12 16:04:16.703146
28,put,53000.0,1639382400.0,0.8011,49168.55,2021-12-12 16:04:16.703146
29,put,51000.0,1639382400.0,0.6729,49168.55,2021-12-12 16:04:16.703146
30,put,52000.0,1639382400.0,0.7391,49168.55,2021-12-12 16:04:16.703146
31,put,50000.0,1639382400.0,0.6659999999999999,49168.55,2021-12-12 16:04:16.703146
32,put,42000.0,1639382400.0,1.2447,49168.55,2021-12-12 16:04:16.703146
33,put,48000.0,1639382400.0,0.7456999999999999,49168.55,2021-12-12 16:04:16.703146
34,put,66000.0,1639728000.0,1.0298,49168.55,2021-12-12 16:04:16.703146
35,put,50000.0,1639728000.0,0.7342,49168.55,2021-12-12 16:04:16.703146
