,instrument_names,maturities,mark_price,index_price,last_price
0,BTC-30DEC22,1672387200000,45345.8,43394.8,45355.5
1,BTC-8APR22,1649404800000,43400.19,43399.2,43400.0
2,BTC-24JUN22,1656057600000,43837.27,43401.82,43815.0
3,BTC-30SEP22,1664524800000,44689.85,43401.82,44684.5
4,BTC-15APR22,1650009600000,43440.77,43402.81,43499.0
5,BTC-31MAR23,1680249600000,45980.42,43403.77,46054.0
6,BTC-27MAY22,1653638400000,43596.81,43404.21,43591.0
7,BTC-PERPETUAL,32503708800000,43404.81,43404.76,43399.5
8,BTC-29APR22,1651219200000,43503.73,43404.76,43502.0
