,type,strikes,maturities,implied_volatilities,Spot,T0
0,put,44000.0,1649404800.0,0.5339,43395.34,2022-04-08 00:04:20.879623
1,put,40000.0,1649404800.0,0.8215,43395.34,2022-04-08 00:04:20.879623
2,put,25000.0,1649404800.0,1.0685,43395.34,2022-04-08 00:04:20.879623
3,put,50000.0,1649404800.0,0.7223,43395.34,2022-04-08 00:04:20.879623
4,put,32000.0,1649404800.0,1.0683,43395.34,2022-04-08 00:04:20.879623
5,put,51000.0,1649404800.0,0.7369,43395.34,2022-04-08 00:04:20.879623
6,put,52000.0,1649404800.0,0.7369,43395.34,2022-04-08 00:04:20.879623
7,put,45000.0,1649404800.0,0.5981000000000001,43395.34,2022-04-08 00:04:20.879623
8,put,42000.0,1649404800.0,0.6573,43395.34,2022-04-08 00:04:20.879623
9,put,41000.0,1649404800.0,0.7108,43395.34,2022-04-08 00:04:20.879623
10,put,35000.0,1649404800.0,1.0683,43395.34,2022-04-08 00:04:20.879623
11,put,47000.0,1649404800.0,0.6920000000000001,43395.34,2022-04-08 00:04:20.879623
12,put,46000.0,1649404800.0,0.6142,43395.34,2022-04-08 00:04:20.879623
13,put,38000.0,1649404800.0,1.0187,43395.34,2022-04-08 00:04:20.879623
14,put,70000.0,1649404800.0,0.8027,43395.34,2022-04-08 00:04:20.879623
15,put,34000.0,1649404800.0,1.0683,43395.34,2022-04-08 00:04:20.879623
16,put,48000.0,1649404800.0,0.6981,43395.34,2022-04-08 00:04:20.879623
17,put,65000.0,1649404800.0,0.7768,43395.34,2022-04-08 00:04:20.879623
18,put,43000.0,1649404800.0,0.5574,43395.34,2022-04-08 00:04:20.879623
19,put,36000.0,1649404800.0,1.0683,43395.34,2022-04-08 00:04:20.879623
20,put,49000.0,1649404800.0,0.7212999999999999,43395.34,2022-04-08 00:04:20.879623
21,put,60000.0,1649404800.0,0.7559,43395.34,2022-04-08 00:04:20.879623
22,put,54000.0,1649404800.0,0.7395,43395.34,2022-04-08 00:04:20.879623
23,put,55000.0,1649404800.0,0.7559,43395.34,2022-04-08 00:04:20.879623
24,put,30000.0,1649404800.0,1.0683,43395.34,2022-04-08 00:04:20.879623
25,put,36000.0,1649491200.0,0.762,43395.34,2022-04-08 00:04:20.879623
26,put,43000.0,1649491200.0,0.5495,43395.34,2022-04-08 00:04:20.879623
27,put,39000.0,1649491200.0,0.762,43395.34,2022-04-08 00:04:20.879623
28,put,46000.0,1649491200.0,0.5876,43395.34,2022-04-08 00:04:20.879623
29,put,45000.0,1649491200.0,0.5353,43395.34,2022-04-08 00:04:20.879623
30,put,42000.0,1649491200.0,0.601,43395.34,2022-04-08 00:04:20.879623
31,put,34000.0,1649491200.0,0.762,43395.34,2022-04-08 00:04:20.879623
32,put,38000.0,1649491200.0,0.762,43395.34,2022-04-08 00:04:20.879623
33,put,44000.0,1649491200.0,0.5273,43395.34,2022-04-08 00:04:20.879623
34,put,40000.0,1649491200.0,0.7199,43395.34,2022-04-08 00:04:20.879623
35,put,41000.0,1649491200.0,0.6563,43395.34,2022-04-08 00:04:20.879623
36,put,47000.0,1649491200.0,0.601,43395.34,2022-04-08 00:04:20.879623
37,put,48000.0,1649491200.0,0.65,43395.34,2022-04-08 00:04:20.879623
38,put,50000.0,1649491200.0,0.65,43395.34,2022-04-08 00:04:20.879623
39,put,25000.0,1650009600.0,0.9994,43395.34,2022-04-08 00:04:20.879623
40,put,65000.0,1650009600.0,0.7232,43395.34,2022-04-08 00:04:20.879623
41,put,50000.0,1650009600.0,0.574,43395.34,2022-04-08 00:04:20.879623
42,put,49000.0,1650009600.0,0.5505,43395.34,2022-04-08 00:04:20.879623
43,put,48000.0,1650009600.0,0.5387,43395.34,2022-04-08 00:04:20.879623
44,put,70000.0,1650009600.0,0.7317,43395.34,2022-04-08 00:04:20.879623
45,put,30000.0,1650009600.0,0.922,43395.34,2022-04-08 00:04:20.879623
46,put,45000.0,1650009600.0,0.5324,43395.34,2022-04-08 00:04:20.879623
47,put,60000.0,1650009600.0,0.7232,43395.34,2022-04-08 00:04:20.879623
48,put,56000.0,1650009600.0,0.7232,43395.34,2022-04-08 00:04:20.879623
49,put,52000.0,1650009600.0,0.626,43395.34,2022-04-08 00:04:20.879623
50,put,36000.0,1650009600.0,0.7132,43395.34,2022-04-08 00:04:20.879623
51,put,34000.0,1650009600.0,0.7848999999999999,43395.34,2022-04-08 00:04:20.879623
52,put,35000.0,1650009600.0,0.736,43395.34,2022-04-08 00:04:20.879623
53,put,54000.0,1650009600.0,0.6717,43395.34,2022-04-08 00:04:20.879623
54,put,38000.0,1650009600.0,0.6666,43395.34,2022-04-08 00:04:20.879623
55,put,42000.0,1650009600.0,0.5753,43395.34,2022-04-08 00:04:20.879623
56,put,44000.0,1650009600.0,0.5401,43395.34,2022-04-08 00:04:20.879623
57,put,46000.0,1650009600.0,0.5293,43395.34,2022-04-08 00:04:20.879623
58,put,55000.0,1650009600.0,0.6920000000000001,43395.34,2022-04-08 00:04:20.879623
59,put,75000.0,1650009600.0,0.7864,43395.34,2022-04-08 00:04:20.879623
60,put,51000.0,1650009600.0,0.5776,43395.34,2022-04-08 00:04:20.879623
61,put,47000.0,1650009600.0,0.5314,43395.34,2022-04-08 00:04:20.879623
62,put,40000.0,1650009600.0,0.6142,43395.34,2022-04-08 00:04:20.879623
