,type,strikes,maturities,implied_volatilities,Spot,posixT0
59,put,42000.0,1650614400.0,0.5166,42697.35,2022-04-10 05:35:49.727022+00:00
60,put,43000.0,1650614400.0,0.5058,42697.35,2022-04-10 05:35:49.727022+00:00
61,put,48000.0,1650614400.0,0.4939,42697.35,2022-04-10 05:35:49.727022+00:00
62,put,65000.0,1650614400.0,0.7116,42697.35,2022-04-10 05:35:49.727022+00:00
63,put,52000.0,1650614400.0,0.5371,42697.35,2022-04-10 05:35:49.727022+00:00
64,put,44000.0,1650614400.0,0.4978,42697.35,2022-04-10 05:35:49.727022+00:00
65,put,75000.0,1650614400.0,0.7168000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
66,put,41000.0,1650614400.0,0.5265,42697.35,2022-04-10 05:35:49.727022+00:00
67,put,55000.0,1650614400.0,0.599,42697.35,2022-04-10 05:35:49.727022+00:00
68,put,70000.0,1650614400.0,0.7162999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
69,put,30000.0,1650614400.0,0.8784000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
70,put,25000.0,1650614400.0,0.9775,42697.35,2022-04-10 05:35:49.727022+00:00
71,put,36000.0,1650614400.0,0.625,42697.35,2022-04-10 05:35:49.727022+00:00
72,put,45000.0,1650614400.0,0.493,42697.35,2022-04-10 05:35:49.727022+00:00
73,put,39000.0,1650614400.0,0.5618,42697.35,2022-04-10 05:35:49.727022+00:00
74,put,54000.0,1650614400.0,0.5476,42697.35,2022-04-10 05:35:49.727022+00:00
75,put,38000.0,1650614400.0,0.5841,42697.35,2022-04-10 05:35:49.727022+00:00
76,put,50000.0,1650614400.0,0.513,42697.35,2022-04-10 05:35:49.727022+00:00
77,put,60000.0,1650614400.0,0.6711,42697.35,2022-04-10 05:35:49.727022+00:00
78,put,40000.0,1651219200.0,0.5744,42697.35,2022-04-10 05:35:49.727022+00:00
79,put,49000.0,1651219200.0,0.5366,42697.35,2022-04-10 05:35:49.727022+00:00
80,put,45000.0,1651219200.0,0.5349,42697.35,2022-04-10 05:35:49.727022+00:00
81,put,38000.0,1651219200.0,0.6047,42697.35,2022-04-10 05:35:49.727022+00:00
82,put,60000.0,1651219200.0,0.6015999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
83,put,55000.0,1651219200.0,0.5639,42697.35,2022-04-10 05:35:49.727022+00:00
84,put,70000.0,1651219200.0,0.7315,42697.35,2022-04-10 05:35:49.727022+00:00
85,put,50000.0,1651219200.0,0.5366,42697.35,2022-04-10 05:35:49.727022+00:00
86,put,51000.0,1651219200.0,0.5367999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
87,put,32000.0,1651219200.0,0.7356,42697.35,2022-04-10 05:35:49.727022+00:00
88,put,43000.0,1651219200.0,0.5425,42697.35,2022-04-10 05:35:49.727022+00:00
89,put,25000.0,1651219200.0,0.9608,42697.35,2022-04-10 05:35:49.727022+00:00
90,put,53000.0,1651219200.0,0.5455,42697.35,2022-04-10 05:35:49.727022+00:00
91,put,44000.0,1651219200.0,0.5373,42697.35,2022-04-10 05:35:49.727022+00:00
92,put,52000.0,1651219200.0,0.5437,42697.35,2022-04-10 05:35:49.727022+00:00
93,put,42000.0,1651219200.0,0.5513,42697.35,2022-04-10 05:35:49.727022+00:00
94,put,35000.0,1651219200.0,0.6665000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
95,put,20000.0,1651219200.0,1.0561,42697.35,2022-04-10 05:35:49.727022+00:00
96,put,65000.0,1651219200.0,0.6747,42697.35,2022-04-10 05:35:49.727022+00:00
97,put,41000.0,1651219200.0,0.5604,42697.35,2022-04-10 05:35:49.727022+00:00
98,put,47000.0,1651219200.0,0.5338,42697.35,2022-04-10 05:35:49.727022+00:00
99,put,100000.0,1651219200.0,0.9587,42697.35,2022-04-10 05:35:49.727022+00:00
100,put,34000.0,1651219200.0,0.6892,42697.35,2022-04-10 05:35:49.727022+00:00
101,put,48000.0,1651219200.0,0.5343,42697.35,2022-04-10 05:35:49.727022+00:00
102,put,36000.0,1651219200.0,0.6451,42697.35,2022-04-10 05:35:49.727022+00:00
103,put,46000.0,1651219200.0,0.5322,42697.35,2022-04-10 05:35:49.727022+00:00
104,put,30000.0,1651219200.0,0.7944,42697.35,2022-04-10 05:35:49.727022+00:00
105,put,75000.0,1651219200.0,0.7472,42697.35,2022-04-10 05:35:49.727022+00:00
106,put,80000.0,1651219200.0,0.7665000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
107,put,80000.0,1653638400.0,0.6988,42697.35,2022-04-10 05:35:49.727022+00:00
108,put,48000.0,1653638400.0,0.5647,42697.35,2022-04-10 05:35:49.727022+00:00
109,put,75000.0,1653638400.0,0.6548999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
110,put,65000.0,1653638400.0,0.6096,42697.35,2022-04-10 05:35:49.727022+00:00
111,put,30000.0,1653638400.0,0.737,42697.35,2022-04-10 05:35:49.727022+00:00
112,put,50000.0,1653638400.0,0.5647,42697.35,2022-04-10 05:35:49.727022+00:00
113,put,35000.0,1653638400.0,0.6561,42697.35,2022-04-10 05:35:49.727022+00:00
114,put,40000.0,1653638400.0,0.6054999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
115,put,70000.0,1653638400.0,0.6234000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
116,put,52000.0,1653638400.0,0.5658,42697.35,2022-04-10 05:35:49.727022+00:00
117,put,32000.0,1653638400.0,0.6997,42697.35,2022-04-10 05:35:49.727022+00:00
118,put,55000.0,1653638400.0,0.5749,42697.35,2022-04-10 05:35:49.727022+00:00
119,put,100000.0,1653638400.0,0.8183,42697.35,2022-04-10 05:35:49.727022+00:00
120,put,36000.0,1653638400.0,0.6455,42697.35,2022-04-10 05:35:49.727022+00:00
121,put,34000.0,1653638400.0,0.6701999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
122,put,42000.0,1653638400.0,0.5915,42697.35,2022-04-10 05:35:49.727022+00:00
123,put,44000.0,1653638400.0,0.5795,42697.35,2022-04-10 05:35:49.727022+00:00
124,put,20000.0,1653638400.0,1.0254,42697.35,2022-04-10 05:35:49.727022+00:00
125,put,60000.0,1653638400.0,0.5892000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
126,put,46000.0,1653638400.0,0.5705,42697.35,2022-04-10 05:35:49.727022+00:00
127,put,54000.0,1653638400.0,0.5710000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
128,put,85000.0,1653638400.0,0.7182,42697.35,2022-04-10 05:35:49.727022+00:00
129,put,38000.0,1653638400.0,0.6225,42697.35,2022-04-10 05:35:49.727022+00:00
130,put,52000.0,1656057600.0,0.6144,42697.35,2022-04-10 05:35:49.727022+00:00
131,put,150000.0,1656057600.0,0.997,42697.35,2022-04-10 05:35:49.727022+00:00
132,put,44000.0,1656057600.0,0.629,42697.35,2022-04-10 05:35:49.727022+00:00
133,put,55000.0,1656057600.0,0.6164000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
134,put,65000.0,1656057600.0,0.6408,42697.35,2022-04-10 05:35:49.727022+00:00
135,put,300000.0,1656057600.0,1.1761,42697.35,2022-04-10 05:35:49.727022+00:00
136,put,25000.0,1656057600.0,0.8088,42697.35,2022-04-10 05:35:49.727022+00:00
137,put,45000.0,1656057600.0,0.6257,42697.35,2022-04-10 05:35:49.727022+00:00
138,put,60000.0,1656057600.0,0.6248,42697.35,2022-04-10 05:35:49.727022+00:00
139,put,48000.0,1656057600.0,0.6175,42697.35,2022-04-10 05:35:49.727022+00:00
140,put,90000.0,1656057600.0,0.7444,42697.35,2022-04-10 05:35:49.727022+00:00
